joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.389597,-5.957180000000001e-05,0.293642,-0.0184461,-0.6715899999999999,-0.000129689,1.2876,-0.00342621,88.5038,1,0,0.279217
-0.387422,-5.9581e-05,0.292799,-0.019355200000000003,-0.674134,-0.000129658,1.28789,-0.00336853,88.7418,1,0,0.280429
-0.385252,-5.95898e-05,0.291954,-0.0202661,-0.67666,-0.000129623,1.2881200000000002,-0.00331384,88.9817,1,0,0.281642
-0.383085,-5.9599e-05,0.291106,-0.021177200000000004,-0.679164,-0.000129581,1.28828,-0.0032580999999999995,89.219,1,0,0.282855
-0.380923,-5.96075e-05,0.290259,-0.0220903,-0.681649,-0.000129535,1.28837,-0.00319526,89.4579,1,0,0.284069
-0.378763,-5.96166e-05,0.289408,-0.0230039,-0.6841119999999999,-0.00012948299999999998,1.28838,-0.00312117,89.6941,1,0,0.28528400000000004
-0.376609,-5.9625e-05,0.288558,-0.0239197,-0.686554,-0.000129426,1.28833,-0.00303006,89.9319,1,0,0.2865
-0.374458,-5.9634e-05,0.287707,-0.0248361,-0.688974,-0.000129362,1.2882,-0.00291853,90.1672,1,0,0.28771599999999997
-0.372312,-5.9642e-05,0.286856,-0.025754900000000004,-0.6913729999999999,-0.000129295,1.28801,-0.00278192,90.4039,1,0,0.288934
-0.370169,-5.96508e-05,0.286005,-0.0266746,-0.6937479999999999,-0.00012922200000000002,1.28775,-0.00261837,90.6382,1,0,0.290152
-0.368031,-5.965840000000001e-05,0.285155,-0.0275969,-0.696101,-0.000129145,1.28741,-0.00242497,90.8738,1,0,0.29136999999999996
-0.365895,-5.96668e-05,0.28430500000000003,-0.0285201,-0.698429,-0.000129061,1.28701,-0.00220187,91.1071,1,0,0.29259
-0.363765,-5.9674e-05,0.283457,-0.029446100000000006,-0.700734,-0.000128975,1.28654,-0.00194823,91.3416,1,0,0.29381
-0.361637,-5.96819e-05,0.28261,-0.030373200000000006,-0.703013,-0.000128882,1.28599,-0.0016664000000000002,91.5739,1,0,0.295031
-0.359514,-5.96886e-05,0.281765,-0.0313032,-0.705267,-0.000128787,1.28538,-0.00135762,91.8084,1,0,0.29625300000000004
-0.357394,-5.96961e-05,0.280922,-0.0322345,-0.707495,-0.000128685,1.28469,-0.00102629,92.0401,1,0,0.297475
-0.35527800000000004,-5.9703e-05,0.280082,-0.033168699999999995,-0.709697,-0.00012858,1.28394,-0.00067615,92.2737,1,0,0.298698
-0.353164,-5.971e-05,0.279244,-0.0341045,-0.71187,-0.000128471,1.28311,-0.000312706,92.5044,1,0,0.29992199999999997
-0.351055,-5.97161e-05,0.27841,-0.0350434,-0.714017,-0.000128358,1.28221,5.91434e-05,92.7375,1,0,0.301146
-0.348947,-5.97223e-05,0.27757800000000005,-0.0359839,-0.716134,-0.000128241,1.28125,0.000433311,92.9674,1,0,0.302371
-0.346844,-5.9728e-05,0.276751,-0.0369276,-0.718222,-0.00012812200000000002,1.28021,0.0008047530000000001,93.2001,1,0,0.303597
